SHA256,SHA1,MD5,FileName,Description
74db1f653da6de134bdc526412a517a30b6856de9c3e5d0c742cb5fe9959ad0d,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
94f05495eb1b2ebe592481e01d3900615040aa02bd1807b705a50e45d7c53444,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
a4bd1371fe644d7e6898045cc8e7b5e1562bdfd0e4871d46034e29a22dec6377,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
a5d4d6be3bfe0cba23fe6b44984b5fc9c7c7e10030be96120bb30da0f2545d4c,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
ddceade244c636435f2444cd4c4d3dc161981f3af1f622c03442747ecef50888,,,Trojan.Fakeset,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
24857fe82f454719cd18bcbe19b0cfa5387bee1022008b7f5f3a8be9f05e4d14,,,Trojan.Stagecomp,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
A92d28f1d32e3a9ab7c3691f8bfca8f7586bb0666adbba47eab3e1a8faf7ecc0,,,Trojan.Stagecomp,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
3df9dcc45d2a3b1f639e40d47eceeafb229f6d9e7f0adcd8f1731af1563ffb90,,,Trojan.Darkcomp,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
1319d474d19eb386841732c728acf0c5fe64aa135101c6ceee1bd0369ecf97b6,,,Trojan.Darkcomp,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
a8c380b57cb7c381ca6ba845bd7af7333f52ee4dc4e935e98b48bb81facad72b,,,FakeSet.CastleLoader,"Iranian APT group Seedworm (aka MuddyWater, Temp Zagros, Static Kitten) deploying backdoors"
5986ab04dd6b3d259935249741d3eff2,,,Handala Wiper,Modus Operandi
